id	sentence	raw	ipa	gloss_en	features	notes
ar-EG-001	اِزَّيَّك يَا صَاحْبِي، اِنْتَ كُوَيِّس اِنَّهَارْدَة؟	ازيك يا صاحبي، انت كويس انهاردة؟	ʔizˈzajjak ˈjaː ˈsˤɑːħbiː ˈʔinta kuˈwajjis ʔinnaˈhaːrda	How are you my friend, are you well today?	kaf;ta_marbuta;emphatic;pharyngeal;geminate;long_vowel;diphthong;question	greeting izzayyak (badawi-hinds1986 s.v. زي); geminates زّ يّ; Cairene form innaharda
ar-EG-002	اِلْجَوّ حَرّ قَوِي فِي اِلصِّيف وِالشَّمْس جَامْدَة.	الجو حر قوي في الصيف والشمس جامدة.	ilˈɡaww ˈħarr ˈʔawiiː ˈfiː isˤˈsˤiːf wiʃˈʃams ˈɡaːmda	The weather is very hot in summer and the sun is fierce.	qaf;jim;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	ج = /ɡ/ (badawi-hinds1986; watson2002 ch.1: Cairene gīm); sun assimilation aʃ-ʃams with Egyptian reflexes
ar-EG-003	مِش عَايِز قَهْوَة، أَنَا بَفَضَّل شَاي بِالنَّعْنَاع.	مش عايز قهوة، أنا بفضل شاي بالنعناع.	ˈmiʃ ˈʕaːjiz ˈʔahwa ˈʔanaː baˈfɑdˤdˤɑl ˈʃaːj binnaʕˈnaːʕ	I don't want coffee, I prefer tea with mint.	qaf;hamza;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;negation	negator miš (badawi-hinds1986 s.v. مش); ق = /ʔ/ in ʔahwa (mitchell1956 §5); bi-imperfect بَفَضَّل
ar-EG-004	اِشْتَرِيت تَلَات كِيلُو طَمَاطِم مِن اِلسُّوق بِخَمْسَة جِنِيه.	اشتريت تلات كيلو طماطم من السوق بخمسة جنيه.	ʔiʃtaˈriːt taˈlaːt ˈkiːluː tˤɑˈmɑːtˤim ˈmin isˈsuːʔ biˈxamsa ɡiˈniːh	I bought three kilos of tomatoes from the market for five pounds.	qaf;jim;kaf;ta_marbuta;sun_assim;emphatic;geminate;long_vowel;statement;number	ث→/t/ in talāta (badawi-hinds1986; watson2002: Cairene stop reflexes); emphatic ط with backing
ar-EG-005	هُوَّ فِين اِلْمُدَرِّس بِتَاع اِلْعَرَبِي دِلْوَقْتِي؟	هو فين المدرس بتاع العربي دلوقتي؟	ˈhuwwa ˈfiːn ilmuˈdarris biˈtaːʕ ilˈʕarabiː dilˈwaʔtiː	Where is the Arabic teacher right now?	qaf;pharyngeal;geminate;long_vowel;question	genitive exponent bitāʕ (badawi-hinds1986 s.v. بتاع); dilwaʔti with ق=/ʔ/; geminate رّ
ar-EG-006	اِسْتَنَّى شْوَيَّة يَا بَاشَا، اِحْنَا ثَلَاثَة.	استنى شوية يا باشا، احنا ثلاثة.	ʔisˈtannaː ˈʃwajja ˈjaː ˈbaːʃaː ˈʔiħnaː taˈlaːta	Wait a bit, boss — there are three of us.	interdental;ta_marbuta;pharyngeal;geminate;long_vowel;diphthong;imperative	Cairene imperative istanna and vocative basha (badawi-hinds1986 s.v.); ثلاثة → talata with the stop reflex of the interdental
ar-EG-007	اِلْجَوّ مِش حَرّ اِنَّهَارْدَة وِالسَّمَا مْغَيِّمَة.	الجو مش حر انهاردة والسما مغيمة.	ilˈɡaww ˈmiʃ ˈħarr ʔinnaˈhaːrda ˈwissamaː ˈmɣajjima	The weather is not hot today and the sky is cloudy.	jim;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;diphthong;statement;negation	mish negation; innaharda (badawi-hinds1986 s.v.); il- article; geminate yy in mghayyima untouched by EG_MONO (watson2002)
ar-EG-008	بِكَام الْكِيلُو؟ بِخَمْسَة جْنَيه وِنُصّ.	بكام الكيلو؟ بخمسة جنيه ونص.	biˈkaːm alˈkiːluː biˈxamsa ˈɡneːh wiˈnusˤsˤ	How much is the kilo? Five and a half pounds.	jim;kaf;ta_marbuta;emphatic;long_vowel;diphthong;question;number	bikam question; gneeh with ay→eː (watson2002 ch.2; badawi-hinds1986 s.v. جنيه); wi- conjunction
ar-EG-009	اِلْمَعَاد السَّاعَة تَلَاتَة وِنُصّ بَعْد الضُّهْر.	المعاد الساعة تلاتة ونص بعد الضهر.	ilmaˈʕaːd asˈsaːʕa taˈlaːta wiˈnusˤsˤ ˈbaʕd ɑdˤˈdˤuhr	The appointment is at half past three in the afternoon.	ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement;number	talata stop reflex; emphatic D in ad-duhr; il-/is- articles (badawi-hinds1986)
ar-EG-010	أَخُويَا الْكِبِير سَاكِن فِي الْمَدِينَة مَعَ مْرَاتُه وِوْلَادُه.	أخويا الكبير ساكن في المدينة مع مراته وولاده.	ʔaˈxuːjaː lkiˈbiːr ˈsaːkin ˈfiː lmaˈdiːna ˈmaʕa ˈmraːtuh wiwˈlaːduh	My elder brother lives in the city with his wife and children.	kaf;hamza;ta_marbuta;pharyngeal;long_vowel;statement	akhuya possessive; mraatuh 'his wife' (badawi-hinds1986 s.v. مرة); initial clusters mr-/wl-
ar-EG-011	اِمْشِي عَلَى طُول وِبَعْدَين حَوِّد يِمِين عَنْد الْجَامِع.	امشي على طول وبعدين حود يمين عند الجامع.	ˈʔimʃiː ˈʕalaː ˈtˤuːl wibaʕˈdeːn ˈħawwid jiˈmiːn ˈʕand alˈɡaːmiʕ	Go straight ahead and then turn right at the mosque.	jim;emphatic;pharyngeal;geminate;long_vowel;diphthong;imperative	imperatives imshi/hawwid (badawi-hinds1986 s.v. حود); wi-baʕdeen with ay→eː; gaamiʕ with g
ar-EG-012	اَلْأَكْل كَان حِلْو بَسّ الشُّورْبَة كَانِت سَاقْعَة.	الأكل كان حلو بس الشوربة كانت ساقعة.	alˈʔakl ˈkaːn ˈħilw ˈbass aʃˈʃuːrba ˈkaːnit ˈsaːʔʕa	The food was nice but the soup was cold.	qaf;kaf;hamza;ta_marbuta;sun_assim;pharyngeal;geminate;long_vowel;statement	bass 'but'; saqʕa 'cold' with q→ʔ (badawi-hinds1986 s.v. ساقع); kaanit feminine
ar-EG-013	فَين حَطَّيت الْمُفْتَاح؟ مِش لَاقِيه.	فين حطيت المفتاح؟ مش لاقيه.	ˈfeːn ħɑtˤˈtˤeːt almufˈtaːħ ˈmiʃ laːˈʔiːh	Where did you put the key? I can't find it.	qaf;emphatic;pharyngeal;long_vowel;diphthong;question;negation	feen with ay→eː (watson2002 ch.2); hatteet 2sg perfect; mish + active participle negation
ar-EG-014	كَام وَاحِد جَه اِمْبَارِح؟ جُم سَبْعَة.	كام واحد جه امبارح؟ جم سبعة.	ˈkaːm ˈwaːħid ˈɡah ʔimˈbaːriħ ˈɡum ˈsabʕa	How many came yesterday? Seven came.	jim;kaf;ta_marbuta;pharyngeal;long_vowel;question;number	kam waahid; geh/gum suppletive 'come' with g (badawi-hinds1986 s.v. جه); imbaarih
ar-EG-015	لَو جَيت بَدْرِي نِرُوح مَعَ بَعْض.	لو جيت بدري نروح مع بعض.	ˈloː ˈɡeːt ˈbadriː niˈruːħ ˈmaʕa ˈbaʕdˤ	If you come early we go together.	jim;emphatic;pharyngeal;long_vowel;diphthong;statement	law conditional (surface [loː] by the regular EG_MONO_AW rule — law~loː variation, badawi-hinds1986); geet with ay→eː
ar-EG-016	رُحْت اِمْبَارِح لِلسُّوق وِجِبْت سَمَك طَازَة.	رحت امبارح للسوق وجبت سمك طازة.	ˈruħt ʔimˈbaːriħ lisˈsuːʔ wiˈɡibt ˈsamak ˈtˤɑːza	I went to the market yesterday and got fresh fish.	qaf;jim;kaf;ta_marbuta;emphatic;pharyngeal;geminate;long_vowel;statement	past narrative; is-suuʔ with q→ʔ; wi-gibt; taaza (badawi-hinds1986 s.v. طازة)
ar-EG-017	بُكْرَة حَنْسَافِر الصُّبْح بَدْرِي.	بكرة حنسافر الصبح بدري.	ˈbukra ħanˈsaːfir ɑsˤˈsˤubħ ˈbadriː	Tomorrow we travel early in the morning.	kaf;ta_marbuta;sun_assim;emphatic;pharyngeal;long_vowel;statement	bukra; ha- future prefix (badawi-hinds1986; mitchell1956); emphatic s in is-subh
ar-EG-018	أَلُو، مِين مَعَايَا؟ ثَانْيَة وَاحْدَة.	ألو، مين معايا؟ ثانية واحدة.	ˈʔaluː ˈmiːn maˈʕaːjaː ˈtaːnja ˈwaːħda	Hello, who is this? One second.	interdental;hamza;ta_marbuta;pharyngeal;long_vowel;question	miin question; maʕaaya 1sg; tanya with th→t stop reflex (watson2002)
ar-EG-019	صَبَاح الْخَير، عَامِل إِيه اِنَّهَارْدَة؟ اَلْحَمْدُ لِلَّه.	صباح الخير، عامل إيه انهاردة؟ الحمد لله.	sˤɑˈbaːħ alˈxeːr ˈʕaːmil ˈʔiːh ʔinnaˈhaːrda lˈħamdu ˈlillah	Good morning, how are you doing today? Praise God.	hamza;ta_marbuta;emphatic;pharyngeal;geminate;long_vowel;diphthong;question	ʕaamil eeh greeting frame (badawi-hinds1986 s.v. ايه); il-kheer with ay→eː; formulaic il-hamdu lillah
ar-EG-020	اَلصَّبْر طَيِّب يَا صَاحْبِي.	الصبر طيب يا صاحبي.	ɑsˤˈsˤɑbr ˈtˤajjib ˈjaː ˈsˤɑːħbiː	Patience is good, my friend.	sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	proverb-like closing; emphatic backing in is-sabr; sahbi vocative (badawi-hinds1986 s.v. صاحب)
